event_name,fight_date,fighter1,fighter2,snorkel_tier,snorkel_confidence,f1_career_fights,f1_career_win_rate,f1_career_finish_rate,f1_career_ko_rate,f1_career_sub_rate,f1_career_sig_str_per_round,f1_career_sig_str_accuracy,f1_career_td_per_round,f1_career_td_accuracy,f1_career_sub_att_per_round,f1_career_kd_per_round,f1_career_ctrl_per_round,f1_career_avg_rounds,f1_recent_win_streak,f1_recent_loss_streak,f2_career_fights,f2_career_win_rate,f2_career_finish_rate,f2_career_ko_rate,f2_career_sub_rate,f2_career_sig_str_per_round,f2_career_sig_str_accuracy,f2_career_td_per_round,f2_career_td_accuracy,f2_career_sub_att_per_round,f2_career_kd_per_round,f2_career_ctrl_per_round,f2_career_avg_rounds,f2_recent_win_streak,f2_recent_loss_streak,f1_height,f1_reach,f2_height,f2_reach,combined_finish_rate,combined_ko_rate,combined_sig_str_per_round,combined_kd_per_round,experience_diff,reach_diff,height_diff,weight_class,wc_baseline_finish_rate,is_title_fight,scheduled_rounds,year
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Bogdan Grad,Luke Riley,4,0.9,2,0.0,0.0,0.0,0.0,15.4,0.5923076923076923,1.2,0.3333333333333333,0.0,0.0,113.4,2.5,0,2,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,68.0,70.0,,,0.0,0.0,15.4,0.0,2,,,Featherweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,1,0.7,14,0.0,0.0,0.0,0.0,19.63157894736842,0.43600233781414377,0.3157894736842105,0.27906976744186046,0.02631578947368421,0.05263157894736842,61.78947368421053,2.7142857142857144,0,14,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,71.0,74.0,,,0.0,0.0,19.63157894736842,0.05263157894736842,14,,,Welterweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Alex Perez,Asu Almabayev,2,0.55,12,0.0,0.0,0.0,0.0,17.0,0.47035573122529645,0.5714285714285714,0.46153846153846156,0.19047619047619047,0.19047619047619047,72.28571428571429,1.75,0,12,6,0.0,0.0,0.0,0.0,10.235294117647058,0.5403726708074534,1.4705882352941178,0.43103448275862066,0.47058823529411764,0.058823529411764705,144.88235294117646,2.8333333333333335,0,6,66.0,65.0,64.0,65.0,0.0,0.0,27.235294117647058,0.24929971988795518,6,0.0,2.0,Flyweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Abdul Rakhman Yakhyaev,Rafael Cerqueira,1,0.7,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74.0,78.0,75.0,76.0,0.0,0.0,0.0,0.0,0,2.0,-1.0,Light Heavyweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Bekzat Almakhan,Aleksandre Topuria,2,0.55,2,0.0,0.0,0.0,0.0,2.75,0.4074074074074074,0.0,0.0,0.0,0.5,9.0,2.0,0,2,1,0.0,0.0,0.0,0.0,13.666666666666666,0.5189873417721519,0.3333333333333333,0.5,0.0,0.0,100.66666666666667,3.0,0,1,67.0,68.0,67.0,68.0,0.0,0.0,16.416666666666664,0.5,1,0.0,0.0,Bantamweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Ismail Naurdiev,Ryan Loder,3,0.6,6,0.0,0.0,0.0,0.0,18.444444444444443,0.5286624203821656,0.5,0.4090909090909091,0.05555555555555555,0.0,58.27777777777778,3.0,0,6,2,0.0,0.0,0.0,0.0,18.333333333333332,0.7142857142857143,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,99.33333333333333,1.5,0,2,70.0,74.0,74.0,76.0,0.0,0.0,36.77777777777777,0.0,4,-2.0,-4.0,Middleweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Nurullo Aliev,Shem Rock,2,0.55,2,0.0,0.0,0.0,0.0,9.0,0.40601503759398494,0.8333333333333334,0.8333333333333334,0.0,0.0,190.66666666666666,3.0,0,2,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70.0,72.0,,,0.0,0.0,9.0,0.0,2,2.0,0.0,Lightweight Bout,0.4,False,3,2025
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Marek Bujlo,Denzel Freeman,2,0.55,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0,,,Heavyweight Bout,0.4,False,3,2025
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Jack Della Maddalena,Islam Makhachev,1,0.7,8,0.0,0.0,0.0,0.0,30.055555555555557,0.541,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.3333333333333333,10.444444444444445,2.25,0,8,17,0.0,0.0,0.0,0.0,11.375,0.5886157826649417,0.925,0.5362318840579711,0.325,0.1,123.45,2.3529411764705883,0,17,71.0,73.0,70.0,70.0,0.0,0.0,41.43055555555556,0.43333333333333335,9,3.0,1.0,UFC Welterweight Title Bout,0.4,True,5,2025
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Valentina Shevchenko,Zhang Weili,2,0.55,18,0.0,0.0,0.0,0.0,15.128571428571428,0.5237388724035609,0.8428571428571429,0.6020408163265306,0.1,0.02857142857142857,86.07142857142857,3.888888888888889,0,18,12,0.0,0.0,0.0,0.0,23.605263157894736,0.5387387387387388,0.6842105263157895,0.45614035087719296,0.15789473684210525,0.07894736842105263,89.94736842105263,3.1666666666666665,0,12,65.0,66.0,64.0,63.0,0.0,0.0,38.733834586466166,0.1075187969924812,6,3.0,1.0,UFC Women's Flyweight Title Bout,0.4,True,5,2025
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,Sean Brady,Michael Morales,3,0.6,9,0.0,0.0,0.0,0.0,18.357142857142858,0.5568797399783315,1.1071428571428572,0.543859649122807,0.2857142857142857,0.03571428571428571,123.21428571428571,3.111111111111111,0,9,6,0.0,0.0,0.0,0.0,27.666666666666668,0.5022692889561271,0.08333333333333333,0.25,0.0,0.5,16.416666666666668,2.0,0,6,70.0,72.0,72.0,79.0,0.0,0.0,46.023809523809526,0.5357142857142857,3,-7.0,-2.0,Welterweight Bout,0.4,False,3,2025
